tract,USP_2012,USS_2012,USC_2012,USP_2016,USS_2016,USC_2016,USP_CHANGE,USS_CHANGE,USC_CHANGE,POPDENSITY_2015,POPDENSITY_CHANGE,NONWHITE_2015,NONWHITE_CHANGE,UNEMPLOYMENT_2015,UNEMPLOYMENT_CHANGE,COLLEGE_2015,COLLEGE_CHANGE,INCOME_2015,INCOME_CHANGE
1400000US42049001000,-0.481342775,-0.398973896,-0.383358706,-0.311079007,-0.3032577,1,0.170263768,0.095716196,1.383358706,7626.01626,0.058392102,19.8,0.692307692,17.5,0.88172043,33.8,0.325490196,38202,0.20173645
1400000US42049001100,-0.431951245,-0.386937302,-0.363752783,-0.255639502,-0.254051273,1,0.176311743,0.132886029,1.363752783,2377.403846,-0.021115143,24.4,0.038297872,11.7,0.671428571,11.8,0.372093023,32441,-0.092280142
1400000US42049001200,-0.604907108,-0.543531721,-0.528625492,-0.386050047,-0.386271148,1,0.218857061,0.157260573,1.528625492,3192.063492,-0.161734056,43.7,0.033096927,16.4,0.197080292,11.7,0.4625,21719,-0.019900722
1400000US42049001300,-0.832072052,-0.776124122,-0.769276515,-0.709443708,-0.668914925,1,0.122628344,0.107209197,1.769276515,4686.684073,-0.148481973,76.8,-0.038798498,19.5,0.710526316,19.1,1.3875,20268,0.051954118
1400000US42049001400,-0.768276938,-0.707519797,-0.699722802,-0.624228941,-0.60265449,1,0.144047997,0.104865307,1.699722802,5516.923077,0.069171139,46.1,0.280555556,10.8,-0.434554974,8.8,0.333333333,25556,0.578700272
1400000US42049001500,-0.791867745,-0.762084886,-0.749150042,-0.647498536,-0.618655579,1,0.144369209,0.143429307,1.749150042,2855.680655,-0.046153846,74.6,0.078034682,24.9,0.62745098,10.6,0.737704918,19844,-0.176973166
1400000US42049001600,-0.551218205,-0.503968733,-0.506346804,-0.330670906,-0.32315557,1,0.220547299,0.180813163,1.506346804,3213.606437,0.047448736,37.7,0.5907173,7.6,-0.449275362,15.3,0.204724409,45199,0.247626146
1400000US42049001700,-0.741061763,-0.701652166,-0.670025784,-0.565295451,-0.542609804,1,0.175766312,0.159042362,1.670025784,12400.86207,0.040882779,63,0.283095723,13.9,-0.368181818,7.7,-0.358333333,28125,-0.098788772
1400000US42049001800,-0.822251786,-0.771947607,-0.766918805,-0.676667413,-0.656572727,1,0.145584373,0.11537488,1.766918805,8924.686192,0.038967365,72.4,-0.064599483,14.6,0.505154639,7,1.121212121,22708,-0.011879379
1400000US42049001900,-0.547256603,-0.496220472,-0.509485636,-0.348521204,-0.337745204,1,0.198735399,0.158475268,1.509485636,8806.451613,-0.007788162,21,0.065989848,14.1,-0.170588235,14.1,1.389830508,18887,0.069903133
1400000US42049002000,-0.510198852,-0.458077232,-0.43151783,-0.310600772,-0.273860699,1,0.19959808,0.184216533,1.43151783,6974.477958,-0.11510156,20,0.117318436,5.9,-0.463636364,16.7,0.120805369,33667,0.151480949
1400000US42049002100,-0.298291823,-0.253766837,-0.2505387,-0.090807632,-0.100653044,1,0.207484191,0.153113793,1.2505387,4742.962056,-0.063104449,9.1,0.109756098,3.8,-0.525,29.3,0.167330677,48873,0.066071896
1400000US42049002200,-0.355037825,-0.305509876,-0.25536382,-0.136826909,-0.148316654,1,0.218210916,0.157193222,1.25536382,9668.918919,0.066054135,8.5,-0.360902256,4.2,0.2,23.5,0.093023256,40430,-0.081366022
1400000US42049002300,-0.391098284,-0.357779484,-0.322777895,-0.223705507,-0.234506913,1,0.167392777,0.123272571,1.322777895,8633.846154,-0.091909385,17.5,0.861702128,5.7,1.111111111,20.8,-0.12605042,39203,0.021283801
1400000US42049002400,-0.418490918,-0.363347486,-0.345175669,-0.25314979,-0.212285205,1,0.165341128,0.151062281,1.345175669,7012.903226,0.185818182,12.6,0.465116279,4.9,0.633333333,23.4,-0.116981132,41419,0.208220297
1400000US42049002500,-0.568295282,-0.530199921,-0.48308758,-0.373140174,-0.35432528,1,0.195155108,0.175874641,1.48308758,9102.661597,0.015267176,31.3,0.009677419,6.7,-0.042857143,16.8,-0.091891892,40851,0.293899658
